,level_0,Unnamed: 0,index,EGRIN2.block,conds
10,10,10,14,carboxylic acids - carbon source,Succinate.7H9.based.medium..1 Succinate.7H9.based.medium..2
11,11,11,15,iron scavengers - antitubercular drugs,X0.2ug.mL..111891.DMSO..5.5h..1 X0.2ug.mL..111891.DMSO..5.5h..2 X0.2ug.mL..111891.DMSO..5.5h..3 X0.5ug.mL..111891vsDMSO.6h X0.5ug.mL..111891vsDMSO.6hA X0.5ug.mL..111895vsDMSO..6h X0.5ug.mL..111895vsDMSO.6h X0.5ug.mL..121940vsDMSO.6h X0.5ug.mL..121940vsDMSO.6hA X0.5ug.mL..124196vsDMSO..6h X0.5ug.mL..124196vsDMSO..6hA X1.ug.mL..111891vsDMSO..6h X100uM.Dipyridylvsctrl..6h X100uM.DipyridylvsCtrl..6hA X150uM.Deferroxaminevsctrl..6hA X150uM.Deferroxaminevsctrl..6hB X1ug.mL..111891.DMSO..12h..1 X1ug.mL..111891.DMSO..12h..2 X1ug.mL..111891vsDMSO..6h X1ug.mL..111895vsDMSO..6h X1ug.mL..111895vsDMSO..6hA X1ug.mL..121940.DMSO..12h X1ug.mL..124196vsDMSO..6h X1ug.mL..124196vsDMSO..6hA X200uM.Dipyridylvsctrl..6h X200uM.Dipyridylvsctrl..6hA X250uM.DeferroxaminevsDMSO..6h X2ug.mL..111891vsDMSO..6h X2ug.mL..111895vsDMSO..6h X2ug.mL..111895vsDMSO..6hA X2ug.mL..111895vsDMSO..6hB X2ug.mL..121940vsDMSO..6h X2ug.mL..121940vsDMSO..6hA X9ug.mLAscidideminNpvsDMSO.6h X9ug.mLAscidideminNpvsDMSO.6hA H37Rv.Ctrl.vs.10.ug.ml.garlic.extract.6hrs H37Rv.Ctrl.vs.5.ug.ml.garlic.extract.6hrs
12,12,12,16,hypoxia,H37Rv.hypoxia.1.day.rep.10 H37Rv.hypoxia.1.day.rep.2 H37Rv.hypoxia.1.day.rep.3 H37Rv.hypoxia.1.day.rep.4 H37Rv.hypoxia.1.day.rep.5 H37Rv.hypoxia.1.day.rep.6 H37Rv.hypoxia.1.day.rep.7 H37Rv.hypoxia.1.day.rep.9 H37Rv.hypoxia.12hr.rep.1 H37Rv.hypoxia.12hr.rep.2 H37Rv.hypoxia.12hr.rep.3 H37Rv.hypoxia.2hr.rep.1 H37Rv.hypoxia.2hr.rep.2 H37Rv.hypoxia.2hr.rep.3 H37Rv.hypoxia.2hr.rep.4 H37Rv.hypoxia.2hr.rep.5 H37Rv.hypoxia.4.day.rep.1 H37Rv.hypoxia.4.day.rep.3 H37Rv.hypoxia.4.day.rep.4 H37Rv.hypoxia.4.day.rep.5 H37Rv.hypoxia.4.day.rep.6 H37Rv.hypoxia.4.day.rep.7 H37Rv.hypoxia.4hr.rep.1 H37Rv.hypoxia.4hr.rep.2 H37Rv.hypoxia.4hr.rep.3 H37Rv.hypoxia.4hr.rep.4 H37Rv.hypoxia.4hr.rep.5 H37Rv.hypoxia.4hr.rep.6 H37Rv.hypoxia.4hr.rep.7 H37Rv.hypoxia.7.day.rep.1 H37Rv.hypoxia.7.day.rep.2 H37Rv.hypoxia.7.day.rep.3 H37Rv.hypoxia.7.day.rep.4 H37Rv.hypoxia.7.day.rep.5 H37Rv.hypoxia.7.day.rep.6 H37Rv.hypoxia.8hr.rep.1 H37Rv.hypoxia.8hr.rep.2 H37Rv.hypoxia.8hr.rep.3 MTB.strain.1254.Ctrl.vs.2hr.Hypoxia.rep.2 NRP.Day10..1 NRP.Day10..2 NRP.Day12..1 NRP.Day12..2 NRP.Day12..3 NRP.Day14..1 NRP.Day14..2 NRP.Day14..4 NRP.Day14..6 NRP.Day14..7 NRP.Day20..1 NRP.Day20..2 NRP.Day30..1 NRP.Day6..2 NRP.Day6..3 SG.ISB.3.0A_N30A01cy.3 SG.ISB.3.0B_N30A01cy.5 SG.ISB.3.0C_N30A02cy.3 SG.ISB.3.12A_N30A06cy.5 SG.ISB.3.12C_N30A07cy.5 SG.ISB.3.7A_N30A02cy.5 SG.ISB.3.7B_N30A03cy.3 SG.ISB.3.7C_N30A03cy.5 SG.ISB.3.7D_N30A04cy.3 SG.ISB.3.8A_N30A04cy.5 SG.ISB.3.8B_N30A05cy.3 SG.ISB.3.8C_N30A05cy.5 SG.ISB.3.8D_N30A06cy.3 SG12.A0_N32A01cy.3 SG12.A120_N32A08cy.3 SG12.A2_N32A03cy.3 SG12.A24_N32A07cy.3 SG12.A4_N32A04cy.3 SG12.A6_N32A05cy.3 SG12.A8_N32A06cy.3 SG12.B0_N32A09cy.3 SG12.B120_N32A04cy.5 SG12.B24_N32A03cy.5 SG12.B4_N32A12cy.3 SG12.B6_N32A01cy.5 SG12.B8_N32A02cy.5 SG12.C0_N32A05cy.5 SG12.C2_N32A07cy.5 SG12.C24_N32A11cy.5 SG12.C4_N32A08cy.5 SG12.C6_N32A09cy.5 SG12.C8_N32A10cy.5 SG2.A2_N02A03c3 SG2.A3_N02A04c3 SG2.A5_N02A05c3 SG2.A8_N02A07c3 SG2.A9_N02A08c3 SG2.B0_N02A09c3 SG2.B1_N02A10c3 SG2.B2_N02A11c3 SG2.B5_N02A09c5 SG2.B7_N02A10c5 SG2.B8_N02A11c5 SG2.B9_N02A12c5 SG2.D1_N02A02c5 SG2.D3_N02A04c5 SG2.D5_N02A05c5 SG2.D7_N02A06c5 SG2.D8_N02A07c5 SG2.D9_N02A08c5 SG6.A11_N5A10cy.5 SG6.A8_N5A06cy.5 SG6.B11_N5A11cy.5 SG6.B8_N5A07cy.5 SG6.C1_N5A04cy.5 SG6.C11_N5A12cy.5 SG6.C8_N5A08cy.5 SG6.D8_N5A09cy.5 SG6.H0_N5A03cy.5 SG6_A0_N7A10cy.3 SG6_A7_N7A12cy.3 SG6_B0_N7A10cy.5 SG6_B1_N7A11cy.5 SG6C.T7_N11A01cy.3 SG6D.T14_N11A04cy.3 SG6D.T7_N11A02cy.3 SG6D.T8_N11A03cy.3 SG7.AT1_N11A05cy.5 SG7.BT0_N11A02cy.5 SG7.BT1_N11A06cy.5 SG7.CT0_N11A03cy.5 SG7.CT1_N11A07cy.5 SG7.DT0_N11A04cy.5 SG7.DT1_N11A08cy.5 SG7.T12A_N11A09cy.3 SG7.T12B_N11A10cy.3 SG7.T12C_N11A11cy.3 SG7.T12D_N11A12cy.3 SG7.T7B_N11A09cy.5 SG7.T7C_N11A10cy.5 SG7.T8A_N11A05cy.3 SG7.T8B_N11A06cy.3 SG7.T8C_N11A07cy.3 SG7.T8D_N11A08cy.3 SG8.A.Day.1_fix_N37A03cy.5 SG8.A.Day.2_N37A08cy.3 SG8.A.Day.3_N37A09cy.3 SG8.A.Day.5_N37A10cy.3 SG8.A.Day.7_N37A11cy.3 SG8.B.Day.1_N37A05cy.5 SG8.B.Day.2_N37A06cy.5 SG8.B.Day.3_N37A07cy.5 SG8.B.Day.5_N37A08cy.5 SG8.B.Day.7_N37A09cy.5 SG8.C.Day.0.pre_N27A07cy.3 SG8.C.Day.1_N27A09cy.3 SG8.C.Day.1_N37A11cy.5 SG8.C.Day.2_N37A12cy.5 SG8.D.Day.1_N27A12cy.3
13,13,13,18,aromatic amides - antitubercular drugs,X0.12mg.mL.BZA.pH5.6..2h. X0.12mg.mL.BZA.pH5.6..4h..1 X0.12mg.mL.BZA.pH5.6..4h..2 X0.12mg.mL.BZAvspH5.6..11h. X0.12mg.mL.BZAvspH5.6..5h. X0.12mg.mL.BZAvspH5.6..7h. X0.12mg.mL.Nam.pH5.6..2h..1 X0.12mg.mL.Nam.pH5.6..2h..2 X0.12mg.mL.Nam.pH5.6..4h..1 X0.12mg.mL.Nam.pH5.6..4h..2 X0.12mg.mL.NamvspH5.6..4h. X0.12mg.mL.NamvspH5.6..5.5h. X0.12mg.mL.NamvspH5.6..7h. X0.12mg.mL.PZA.pH5.6..2.5h. X0.12mg.mL.PZA.pH5.6..2h. X0.12mg.mL.PZA.pH5.6..4h..1 X0.12mg.mL.PZA.pH5.6..4h..2 X0.12mg.mL.PZA.pH5.6..5h. X0.12mg.mL.PZAvspH5.6..10.5h. X0.12mg.mL.PZAvspH5.6..11h. X0.12mg.mL.PZAvspH5.6..4h. X0.12mg.mL.PZAvspH5.6..4h.A X0.12mg.mL.PZAvspH5.6..5.5h. X0.12mg.mL.PZAvspH5.6..6h. X0.12mg.mL.PZAvspH5.6..6h.A X1.2mg.mL.NamvspH5.6..10.5h. X1.2mg.mL.NamvspH5.6..5h. X1.2mg.mL.PZA.pH5.6..2h.. X1.2mg.mL.PZA.pH5.6..5h. X1.2mg.mL.PZAvspH5.6..10.5h. X1.2mg.mL.PZAvspH5.6..16h. X1.2mg.mL.PZAvspH5.6..4h. X1.2mg.mL.PZAvspH5.6..4h.A X1.2mg.mL.PZAvspH5.6..4h.B X1.2mg.mL.PZAvspH5.6..6h. X1.2mg.mL.PZAvspH5.6..6h.A X1.2mg.mL.PZAvspH5.6..7h. X1.2mg.mL.PZAvspH5.6..7h.A X40ug.mL.5CL.pH5.6..2h..1 X40ug.mL.5CL.pH5.6..2h..2 X40ug.mL.5CL.pH5.6..4h..1 X40ug.mL.5CL.pH5.6..4h..2 X40ug.mL.5CL.pH5.6..4h..3 X80ug.mL.5CL.pH5.6..2h.
14,14,14,19,low oxygen,H37Rv.0.2..Oxygen..2h..5 H37Rv.0.2..Oxygen..2h..6 MTB.strain.1254.Ctrl.vs.low.aeration..0.2..oxygen..2hr.rep.1 MTB.strain.1254.Ctrl.vs.low.aeration..0.2..oxygen..2hr.rep.2 MTB.strain.1254.Ctrl.vs.low.aeration..0.2..oxygen..2hr.rep.3 MTB1254.Day.0.vs.low.Oxygen.Day.4.rep.1 MTB1254.Day.0.vs.low.Oxygen.Day.4.rep.2 MTB1254.Day.0.vs.low.Oxygen.Day.4.rep.3 MTB1254.Day.0.vs.low.Oxygen.Day.4.rep.4 MTB1254.Day.0.vs.low.Oxygen.Day.4.rep.5 MTB1254.Day.0.vs.low.Oxygen.Day.4.rep.6 H37Rv.Day.0.vs.low.Oxygen.Day.4.rep.1 H37Rv.Day.0.vs.low.Oxygen.Day.4.rep.2 H37Rv.Day.0.vs.low.Oxygen.Day.4.rep.3 H37Rv.Day.0.vs.low.Oxygen.Day.4.rep.4 H37Rv.Day.0.vs.low.Oxygen.Day.4.rep.5 H37Rv.Day.0.vs.low.Oxygen.Day.4.rep.6
15,15,15,20,fatty acids - carbon source,AA_10uM_10.min_01 AA_10uM_10min_01 AA_30uM_10.min_05 AA_30uM_10.min_06 AA_30uM_10.min_07 AA_30uM_10m_01 AA_30uM_10min_02 AA_30uM_10min_03 AA_30uM_1h_01 AA_30uM_1h_02 AA_30uM_1h_03 AA_30uM_1h_04 AA_30uM_1h_06 AA_30uM_1h_08 AA_30uM_24h_02 AA_30uM_24h_03 AA_30uM_24h_04 AA_30uM_2h_02 AA_30uM_2h_03 AA_30uM_2h_04 AA_30uM_2h_05 AA_30uM_2h_07 AA_30uM_30min_01 AA_30uM_30min_02 AA_30uM_30min_04 AA_30uM_30min_05 AA_30uM_30min_06 AA_30uM_30min_07 AA_30uM_30min_08 AA_30uM_30min_09 AA_30uM_4h_01 AA_30uM_4h_04 AA_3uM_10min_02 AA_60uM_24h_01 AA_60uM_24h_02 AA_60uM_24h_03 L2A_30uM_10min_01 L2A_30uM_10min_02 L2A_30uM_10min_03 L2A_30uM_10min_05 L2A_30uM_10min_06 L2A_30uM_10min_08 L2A_30uM_1h_05 L2A_30uM_1h_06 L2A_30uM_1h_08 L2A_30uM_2h_01 L2A_30uM_2h_02 L2A_30uM_2h_03 L2A_30uM_30min_01 L2A_30uM_30min_02 L2A_30uM_30min_03 L2A_30uM_30min_04 L2A_30uM_30min_05 L2A_30uM_30Min_06 L2A_30uM_30min_07 L2A_30uM_4h_06 LAA_50uM_10min_01 OA_50uM_10min_01 OA_50uM_10min_02 OA_50uM_10min_03 OA_50uM_10min_04 OA_50uM_10min_05 OA_50uM_10min_06 OA_50uM_10min_07 OA_50uM_10min_08 OA_50uM_1h_01 OA_50uM_1h_02 OA_50uM_1h_04 OA_50uM_1h_08 OA_50uM_1h_09 OA_50uM_1h_10 OA_50uM_24h_03 OA_50uM_24h_04 OA_50uM_24h_05 OA_50uM_24h_06 OA_50uM_2h_03 OA_50uM_2h_04 OA_50uM_2h_05 OA_50uM_2h_06 OA_50uM_2h_07 OA_50uM_2h_08 OA_50uM_2h_10 OA_50uM_30min_01 OA_50uM_30min_02 OA_50uM_30min_03 OA_50uM_30min_04 OA_50uM_30min_05 OA_50uM_30min_06 OA_50uM_30min_07 OA_50uM_30min_08 OA_50uM_30min_09 OA_50uM_4h_03 OA_50uM_4h_04 OA_50uM_4h_05 OA_50uM_4h_06 OA_50uM_4h_07 OA_50uM_4h_08 OA_50uM_4h_09 PA_100uM_24h_01 PA_100uM_2h_04 PA_10uM_10.min_01 PA_10uM_10min_02 PA_5.uM_10min_02 PA_50uM_10.min_02 PA_50uM_10.min_03 PA_50uM_10min_01 PA_50uM_10min_04 PA_50uM_10min_05 PA_50uM_10min_06 PA_50uM_10min_07 PA_50uM_10min_08 PA_50uM_10min_09 PA_50uM_10min_10 PA_50uM_12h_01 PA_50uM_12h_02 PA_50uM_12h_04 PA_50uM_1h_04 PA_50uM_1h_05 PA_50uM_1h_07 PA_50uM_1h_09 PA_50uM_1h_10 PA_50uM_1h_11 PA_50uM_1h_12 PA_50uM_24h_01 PA_50uM_24h_02 PA_50uM_24h_03 PA_50uM_24h_04 PA_50uM_24h_06 PA_50uM_24h_07 PA_50uM_24h_08 PA_50uM_24h_09 PA_50uM_24h_10 PA_50uM_2h_02 PA_50uM_2h_03 PA_50uM_2h_05 PA_50uM_2h_07 PA_50uM_2h_08 PA_50uM_30.min_05 PA_50uM_30.min_06 PA_50uM_30.min_07 PA_50uM_30min_01 PA_50uM_30min_03 PA_50uM_30min_09 PA_50uM_30min_10 PA_50uM_30min_11 PA_50uM_3d_04 PA_50uM_4h PA_50uM_4h_05 PA_50uM_4h_06 PA_50uM_8h_01 PA_50uM_8h_02 PA_50uM_8h_03 PA_50uM_8h_04
16,16,16,21,hypoxia,H37Rv.hypoxia.1.day.rep.10 H37Rv.hypoxia.1.day.rep.2 H37Rv.hypoxia.1.day.rep.3 H37Rv.hypoxia.1.day.rep.4 H37Rv.hypoxia.1.day.rep.5 H37Rv.hypoxia.1.day.rep.6 H37Rv.hypoxia.1.day.rep.7 H37Rv.hypoxia.12hr.rep.1 H37Rv.hypoxia.12hr.rep.2 H37Rv.hypoxia.12hr.rep.3 H37Rv.hypoxia.2hr.rep.3 H37Rv.hypoxia.4.day.rep.1 H37Rv.hypoxia.4.day.rep.3 H37Rv.hypoxia.4.day.rep.4 H37Rv.hypoxia.4.day.rep.5 H37Rv.hypoxia.4.day.rep.6 H37Rv.hypoxia.4.day.rep.7 H37Rv.hypoxia.4hr.rep.1 H37Rv.hypoxia.4hr.rep.2 H37Rv.hypoxia.4hr.rep.3 H37Rv.hypoxia.4hr.rep.4 H37Rv.hypoxia.4hr.rep.5 H37Rv.hypoxia.4hr.rep.6 H37Rv.hypoxia.4hr.rep.7 H37Rv.hypoxia.7.day.rep.1 H37Rv.hypoxia.7.day.rep.2 H37Rv.hypoxia.7.day.rep.3 H37Rv.hypoxia.7.day.rep.4 H37Rv.hypoxia.7.day.rep.5 H37Rv.hypoxia.7.day.rep.6 H37Rv.hypoxia.7.day.rep.7 H37Rv.hypoxia.8hr.rep.1 H37Rv.hypoxia.8hr.rep.3 MTB.strain.1254.Ctrl.vs.2hr.Hypoxia.rep.2 NRP.Day30..1 NRP.Day6..2 NRP.Day8..3 SG.ISB.3.0A_N30A01cy.3 SG.ISB.3.0B_N30A01cy.5 SG.ISB.3.0C_N30A02cy.3 SG.ISB.3.12A_N30A06cy.5 SG.ISB.3.12C_N30A07cy.5 SG.ISB.3.12D_N30A08cy.3 SG.ISB.3.7A_N30A02cy.5 SG.ISB.3.7B_N30A03cy.3 SG.ISB.3.7C_N30A03cy.5 SG.ISB.3.7D_N30A04cy.3 SG.ISB.3.8A_N30A04cy.5 SG.ISB.3.8B_N30A05cy.3 SG.ISB.3.8C_N30A05cy.5 SG12.A0_N32A01cy.3 SG12.A1_N32A02cy.3 SG12.A2_N32A03cy.3 SG12.A24_N32A07cy.3 SG12.A4_N32A04cy.3 SG12.A8_N32A06cy.3 SG12.B0_N32A09cy.3 SG12.B2_N32A11cy.3 SG12.B4_N32A12cy.3 SG12.C1_N32A06cy.5 SG12.C120_N32A12cy.5 SG12.C2_N32A07cy.5 SG12.C4_N32A08cy.5 SG12.C6_N32A09cy.5 SG12.C8_N32A10cy.5 SG2.A0_N02A01c3 SG2.A1_N02A02c3 SG2.A2_N02A03c3 SG2.A3_N02A04c3 SG2.A5_N02A05c3 SG2.A7_N02A06c3 SG2.A8_N02A07c3 SG2.A9_N02A08c3 SG2.B0_N02A09c3 SG2.B1_N02A10c3 SG2.B2_N02A11c3 SG2.B5_N02A09c5 SG2.B7_N02A10c5 SG2.B8_N02A11c5 SG2.D0_N02A01c5 SG2.D1_N02A02c5 SG2.D2_N02A03c5 SG2.D3_N02A04c5 SG2.D5_N02A05c5 SG2.D7_N02A06c5 SG2.D8_N02A07c5 SG2.D9_N02A08c5 SG6.A14_N8A10cy.5 SG6.A8_N5A06cy.5 SG6.B11_N5A11cy.5 SG6.B14_N8A11cy.5 SG6.B8_N5A07cy.5 SG6.C1_N5A04cy.5 SG6.C14_N8A12cy.5 SG6.D11_N8A09cy.5 SG6.D8_N5A09cy.5 SG6.G0_N5A02cy.5 SG6.H0_N5A03cy.5 SG6_A0_N7A10cy.3 SG6_A7_N7A12cy.3 SG6_B0_N7A10cy.5 SG6_B1_N7A11cy.5 SG6C.T7_N11A01cy.3 SG6D.T7_N11A02cy.3 SG6D.T8_N11A03cy.3 SG7.AT1_N11A05cy.5 SG7.BT0_N11A02cy.5 SG7.CT0_N11A03cy.5 SG7.CT1_N11A07cy.5 SG7.DT0_N11A04cy.5 SG7.DT1_N11A08cy.5 SG7.T12A_N11A09cy.3 SG7.T12C_N11A11cy.3 SG7.T12D_N11A12cy.3 SG7.T7D_N11A11cy.5 SG7.T8A_N11A05cy.3 SG7.T8B_N11A06cy.3 SG7.T8D_N11A08cy.3 SG8.A.Day.0.pre_fix_N37A04cy.5 SG8.A.Day.1_fix_N37A03cy.5 SG8.A.Day.2_N37A08cy.3 SG8.A.Day.3_N37A09cy.3 SG8.A.Day.5_N37A10cy.3 SG8.A.Day.7_N37A11cy.3 SG8.B.Day.1_N37A05cy.5 SG8.B.Day.2_N37A06cy.5 SG8.B.Day.3_N37A07cy.5 SG8.B.Day.5_N37A08cy.5 SG8.B.Day.7_N37A09cy.5 SG8.C.Day.0.post_N27A08cy.3 SG8.C.Day.0.post_N37A10cy.5 SG8.C.Day.0.pre_N27A07cy.3 SG8.C.Day.1_N27A09cy.3 SG8.C.Day.1_N37A11cy.5 SG8.C.Day.2_N37A12cy.5 SG8.D.Day.1_N27A12cy.3
17,17,17,22,aromatic amides - antitubercular drugs,X0.12mg.mL.BZA.pH5.6..2h. X0.12mg.mL.BZA.pH5.6..4h..1 X0.12mg.mL.BZAvspH5.6..11h. X0.12mg.mL.BZAvspH5.6..5h. X0.12mg.mL.BZAvspH5.6..7h. X0.12mg.mL.Nam.pH5.6..2h..1 X0.12mg.mL.Nam.pH5.6..2h..2 X0.12mg.mL.NamvspH5.6..4h. X0.12mg.mL.NamvspH5.6..5.5h. X0.12mg.mL.NamvspH5.6..7h. X0.12mg.mL.PZA.pH5.6..2.5h. X0.12mg.mL.PZA.pH5.6..2h. X0.12mg.mL.PZA.pH5.6..4h..1 X0.12mg.mL.PZA.pH5.6..4h..2 X0.12mg.mL.PZA.pH5.6..5h. X0.12mg.mL.PZAvspH5.6..10.5h. X0.12mg.mL.PZAvspH5.6..5.5h. X0.12mg.mL.PZAvspH5.6..6h. X0.12mg.mL.PZAvspH5.6..6h.A X1.2mg.mL.NamvspH5.6..10.5h. X1.2mg.mL.NamvspH5.6..5h. X1.2mg.mL.PZA.pH5.6..2h.. X1.2mg.mL.PZA.pH5.6..5h. X1.2mg.mL.PZAvspH5.6..10.5h. X1.2mg.mL.PZAvspH5.6..16h. X1.2mg.mL.PZAvspH5.6..4h. X1.2mg.mL.PZAvspH5.6..4h.B X1.2mg.mL.PZAvspH5.6..6h. X1.2mg.mL.PZAvspH5.6..6h.A X1.2mg.mL.PZAvspH5.6..7h. X1.2mg.mL.PZAvspH5.6..7h.A X40ug.mL.5CL.pH5.6..2h..1 X40ug.mL.5CL.pH5.6..2h..2 X40ug.mL.5CL.pH5.6..4h..1 X80ug.mL.5CL.pH5.6..2h.
18,18,18,23,reaeration,H37Rv.reaeration.for.12hrs.rep.1 H37Rv.reaeration.for.12hrs.rep.2 H37Rv.reaeration.for.12hrs.rep.4 H37Rv.reaeration.for.12hrs.rep.5 H37Rv.reaeration.for.12hrs.rep.6 H37Rv.reaeration.for.1hrs.rep.1 H37Rv.reaeration.for.1hrs.rep.2 H37Rv.reaeration.for.1hrs.rep.3 H37Rv.reaeration.for.1hrs.rep.4 H37Rv.reaeration.for.1hrs.rep.5 H37Rv.reaeration.for.1hrs.rep.6 H37Rv.reaeration.for.1hrs.rep.8 H37Rv.reaeration.for.24hrs.rep.1 H37Rv.reaeration.for.24hrs.rep.2 H37Rv.reaeration.for.24hrs.rep.4 H37Rv.reaeration.for.24hrs.rep.5 H37Rv.reaeration.for.24hrs.rep.6 H37Rv.reaeration.for.4hrs.rep.1 H37Rv.reaeration.for.4hrs.rep.2 H37Rv.reaeration.for.4hrs.rep.3 H37Rv.reaeration.for.4hrs.rep.5 H37Rv.reaeration.for.4hrs.rep.6 H37Rv.reaeration.for.4hrs.rep.7 H37Rv.reaeration.for.4hrs.rep.8 H37Rv.reaeration.for.6hrs.rep.1 H37Rv.reaeration.for.6hrs.rep.2 H37Rv.reaeration.for.6hrs.rep.3 H37Rv.reaeration.for.6hrs.rep.4 H37Rv.reaeration.for.6hrs.rep.5 MTB.strain.1254.Ctrl.vs.high.aeration.rep1 MTB.strain.1254.Ctrl.vs.high.aeration.rep2 MTB.strain.1254.Ctrl.vs.high.aeration.rep3
19,19,19,24,respiration inhibitors - antitubercular drugs,X0.1mMGSNO.10ug.mLmdvsDMSO.6h X0.1mMGSNO.10ug.mLmdvsDMSO.6hA X0.1mMGSNO.20ug.mLCPZvsDMSO.6h X0.1mMGSNO.20ug.mLCPZvsDMSO.6hA X0.1mMGSNO.5ug.mLKCNvsDMSO.6h X0.5uMValinomycin.70mMKClvsDMSO.6h X0.5uMValinomycinvsDMSO.6h X100uM.DCCD.DMSO..6h X10ug.mL.ChlorprovsEtOH X10ug.mL.ChlorprovsEtOH..6h X10ug.mL.clofazimine.DMSO..6h X10ug.mL.clotrimvsEtOH..6h X10ug.mL.ClotrimvsEtOH..6hA X10ug.mL.EconazolevsEtOH..6h X10ug.mL.EconazolevsEtOH..6hA X10ug.mL.menadionevsDMSO..6h X10ug.mL.TRZ.DMSO..6h..1 X10ug.mL.TRZ.DMSO..6h..2 X10ug.mLmdn.0.1mMGSNO.DMSO..2 X10ug.mLmnd.Dubos.vsDMSO.6h X10uM.CCCP.DMSO..6h X10uM.ValinomycinvsDMSO..6h X1mM.DNP.DMSO..6h..1 X1mM.DNP.DMSO..6h..2 X1uM.ValinomycinvsDMSO..6h X1uM.ValinomycinvsDMSO..6h.A X1uM.ValinomycinvsDMSO..6h.B X2.5mM.Dinitrophenol.DMSO..6h X20ug.mL.chlorprmz.DMSO..6h..2 X20ug.mL.CPZvsDMSO..6h X20ug.mL.CPZvsDMSO..6h.A X20ug.mL.KCN.DMSO..6h X20uM.DCCD.DMSO..6h..1 X20uM.DCCD.DMSO..6h..2 X24ug.mL.cltrmazole.DMS..6h..1 X24ug.mL.cltrmazole.DMS..6h..2 X24ug.mL.cltrmazole.DMS..6h..3 X24ug.mL.Econazole.DMSO..6h..1 X24ug.mL.Econazole.DMSO..6h..2 X25ug.mL.TRZ.DMSO..6h X25ug.mLCPZ.0.1mMGSNO.DMSO..1 X25ug.mLCPZ.0.1mMGSNO.DMSO..2 X25ug.mLCPZ.0.1mMGSNO.DMSO..3 X25ug.mLCPZ.0.1mMGSNOvsDMSO.A X2mM.DTTvsDMSO..6h X2mM.DTTvsDMSO..6h.A X2mM.ZnSO4.DMSO..6h X50ug.mL.Thioridazine.DMSO..6h X50uM.CCCP.DMSO..6h..1 X50uM.CCCP.DMSO..6h..2 X50uM.CCCPvsDMSO..6h X50uM.NigericinvsDMSO..6h X50uM.NigericinvsDMSO..6h.A X5ug.mL.CFZ.0.1mM.GSNO.DMSO..1 X5ug.mL.KCN.DMSO..6h..1 X5ug.mL.KCN.DMSO..6h..2 X6ug.mL.MenadionevsDMSO..6h CDC1551.ctrl.vs.10.ug.ml.Thioridazine.1hr.rep.1 CDC1551.ctrl.vs.10.ug.ml.Thioridazine.1hr.rep.2 CDC1551.ctrl.vs.10.ug.ml.Thioridazine.2hr.rep.2 CDC1551.ctrl.vs.10.ug.ml.Thioridazine.4hr.rep.1 CDC1551.ctrl.vs.10.ug.ml.Thioridazine.4hr.rep.2 CDC1551.ctrl.vs.40.ug.ml.Thioridazine.1hr.rep.1 CDC1551.ctrl.vs.40.ug.ml.Thioridazine.1hr.rep.2 CDC1551.ctrl.vs.40.ug.ml.Thioridazine.2hr.rep.1 CDC1551.ctrl.vs.40.ug.ml.Thioridazine.4hr.rep.1 CDC1551.ctrl.vs.40.ug.ml.Thioridazine.4hr.rep.2 X20ug.ml.KCN.vs.DMSO.6hrs.x X20ug.ml.KCN.vs.DMSO.6hrs.y
